"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2003年8月11日","1,223.1","1,209.3","1,230.3","1,208.3","-","1.31%"
"2003年8月8日","1,207.3","1,223.7","1,227.4","1,204.3","-","-0.81%"
"2003年8月7日","1,217.2","1,214.9","1,225.3","1,208.7","-","0.17%"
"2003年8月6日","1,215.1","1,222.0","1,237.1","1,211.3","-","-1.19%"
"2003年8月5日","1,229.7","1,263.8","1,263.8","1,226.8","-","-2.97%"
"2003年8月4日","1,267.4","1,263.6","1,277.1","1,240.7","-","0.24%"
"2003年8月1日","1,264.3","1,274.6","1,277.0","1,260.1","-","-0.99%"
"2003年7月31日","1,276.9","1,278.3","1,298.8","1,269.9","-","1.04%"
"2003年7月30日","1,263.8","1,276.6","1,277.2","1,261.7","-","-0.89%"
"2003年7月29日","1,275.2","1,284.2","1,287.8","1,257.1","-","-0.42%"
"2003年7月28日","1,280.5","1,281.5","1,285.9","1,272.0","-","0.17%"
"2003年7月25日","1,278.3","1,252.6","1,278.3","1,237.8","-","1.96%"
"2003年7月24日","1,253.8","1,282.1","1,287.4","1,252.1","-","-1.16%"
"2003年7月23日","1,268.5","1,262.6","1,270.4","1,246.9","-","0.87%"
"2003年7月22日","1,257.6","1,253.0","1,265.4","1,242.2","-","1.36%"
"2003年7月21日","1,240.8","1,256.1","1,256.4","1,232.2","-","-1.52%"
"2003年7月18日","1,259.9","1,265.0","1,267.7","1,244.1","-","0.32%"
"2003年7月17日","1,255.9","1,274.7","1,279.8","1,249.6","-","-2.79%"
"2003年7月16日","1,292.0","1,305.8","1,306.5","1,277.5","-","-0.19%"
"2003年7月15日","1,294.5","1,309.7","1,311.1","1,285.6","-","-0.10%"
"2003年7月14日","1,295.7","1,301.2","1,316.4","1,290.5","-","1.18%"
"2003年7月11日","1,280.6","1,273.9","1,285.8","1,271.8","-","0.94%"
"2003年7月10日","1,268.7","1,280.4","1,286.0","1,260.8","-","-2.05%"
"2003年7月9日","1,295.2","1,294.6","1,307.0","1,285.4","-","-0.25%"
"2003年7月8日","1,298.4","1,275.8","1,298.9","1,272.3","-","1.29%"
"2003年7月7日","1,281.9","1,250.0","1,282.3","1,250.0","-","4.11%"
"2003年7月3日","1,231.3","1,233.4","1,250.6","1,228.4","-","-1.16%"
"2003年7月2日","1,245.8","1,223.2","1,245.8","1,223.1","-","2.33%"
"2003年7月1日","1,217.4","1,195.3","1,219.2","1,180.1","-","1.30%"
"2003年6月30日","1,201.7","1,212.5","1,218.8","1,199.8","-","-0.30%"
"2003年6月27日","1,205.3","1,216.9","1,229.1","1,199.6","-","-0.78%"
"2003年6月26日","1,214.7","1,194.9","1,217.2","1,191.2","-","2.21%"
"2003年6月25日","1,188.4","1,193.2","1,212.8","1,186.5","-","-0.28%"
"2003年6月24日","1,191.7","1,196.6","1,209.8","1,188.2","-","-0.71%"
"2003年6月23日","1,200.2","1,220.2","1,221.7","1,189.8","-","-1.88%"
"2003年6月20日","1,223.1","1,235.2","1,235.8","1,217.2","-","-0.23%"
"2003年6月19日","1,225.9","1,247.5","1,255.3","1,222.9","-","-1.76%"
"2003年6月18日","1,247.9","1,233.8","1,255.4","1,225.7","-","0.67%"
"2003年6月17日","1,239.6","1,247.6","1,247.6","1,229.7","-","-0.16%"
"2003年6月16日","1,241.6","1,211.6","1,242.5","1,206.1","-","3.13%"
"2003年6月13日","1,203.9","1,231.8","1,235.4","1,201.1","-","-2.07%"
"2003年6月12日","1,229.3","1,233.5","1,235.9","1,218.0","-","0.09%"
"2003年6月11日","1,228.2","1,210.6","1,230.5","1,199.5","-","1.26%"
"2003年6月10日","1,213.0","1,201.3","1,213.0","1,194.2","-","1.46%"
"2003年6月9日","1,195.6","1,206.9","1,214.2","1,188.0","-","-1.45%"
"2003年6月6日","1,213.1","1,254.6","1,265.7","1,210.3","-","-1.51%"
"2003年6月5日","1,231.7","1,210.6","1,231.8","1,206.3","-","0.57%"
"2003年6月4日","1,224.8","1,199.7","1,228.5","1,196.0","-","2.19%"
"2003年6月3日","1,198.6","1,183.6","1,198.9","1,180.0","-","1.13%"
"2003年6月2日","1,185.1","1,210.8","1,213.8","1,180.3","-","-1.07%"
